name,protein,cuisine,format,meal_type,red_flags,green_flags,red,orange_yellow,green,leafy_green,blue_purple,white_brown,vegetables
beef and broccoli,beef,Asian,bowl,dinner,needs side,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"cauliflower, broccoli"
burgers,beef,Amer,sandwich,dinner,"raw meat manipulation, lots of chopping",individualized,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, peppers, cucumber, lettuce, spinach, broccoli, green_beans, onions, mushrooms"
korean bbq beef,beef,Asian,segmented,dinner,needs a side and veg,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"cauliflower, carrots, peppers, cabbage, broccoli, green_beans, peas, onions"
thai basil beef,beef,Asian,segmented,dinner,needs a side and veg,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"cauliflower, carrots, peppers, broccoli, green_beans, onions, mushrooms"
sheet pan beef kebabs and naan,beef,Asian,sheet pan,dinner,needs veg,one pan,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, squash, onions, mushrooms"
stroganoff,beef,Euro,skillet,dinner,two pans,uses up leftovers,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"carrots, cabbage, broccoli, green_beans, mushrooms"
beef stew,beef,Amer,soup,dinner,,"one pan, soup",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, celery, kale, green_beans, peas, onions"
chili and potatoes,beef/gr turk,Amer,bowl,dinner,,"microwave, pantry staples",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, cauliflower, peppers, onions"
pasta marinara,beef/gr turk,Ital,bowl,dinner,two pans,pantry staples,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, onions, mushrooms"
lasagna casserole,beef/gr turk,Ital,casserole,dinner,"at least two pans, composed",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, cauliflower, carrots, peppers, onions, mushrooms"
shepherd's bowls,beef/gr turk,Amer,composed,dinner,"at least two pans, composed",,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"carrots, celery, green_beans, peas, onions"
hamburger salad,beef/gr turk,Amer,salad,lunch,lots of chopping,lots of veggies,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, lettuce, spinach, onions"
taco salad,beef/gr turk,Mexi,salad,lunch,lots of chopping,lots of veggies,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"tomatoes, peppers, lettuce, spinach, onions, olives"
sloppy joes,beef/gr turk,Amer,sandwich,dinner,needs veg,premade items,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, cauliflower, carrots, peppers, lettuce, squash, spinach, broccoli, green_beans, onions"
white chicken chili,chicken,Amer,bowl,dinner,not universal,"one pan, soup",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"cauliflower, peppers, onions"
orange chicken,chicken,Asian,bowl,dinner,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"cauliflower, carrots, peppers, broccoli, green_beans, onions"
pad thai,chicken,Asian,bowl,dinner,,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"carrots, peppers, squash, peas, onions"
